0.50	0.27	1.47	1.28	1.44	1.01	1.73	1.86	1.63	0.51	0.89	0.18
0.33	0.71	1.44	1.57	3.49	0.79	2.41	1.69	0.93	0.24	0.79	0.28
0.36	0.72	1.59	0.09	1.56	0.75	0.87	1.02	2.05	0.95	0.24	0.00
0.10	0.51	3.24	2.37	1.92	1.64	0.47	2.70	0.52	0.06	0.22	0.29
0.40	1.06	0.39	3.22	1.04	2.34	1.41	5.54	1.72	1.54	1.32	0.04
0.54	0.01	0.81	2.83	0.78	2.68	0.78	2.76	0.48	2.62	0.19	0.41
0.49	0.21	0.58	0.36	0.84	0.19	2.19	0.85	0.58	2.22	0.00	0.01
0.71	0.12	0.92	3.02	4.00	0.54	2.35	4.93	0.43	1.04	0.19	1.46
0.28	0.56	0.51	0.67	2.53	0.66	0.15	3.88	1.41	0.87	0.18	0.55
0.45	0.18	0.88	4.08	2.97	3.37	2.81	0.97	0.84	2.40	0.11	0.61
0.17	0.23	1.71	1.00	1.89	0.12	1.28	0.47	0.20	0.35	0.38	0.04
0.55	0.94	0.26	1.32	3.88	1.32	4.82	0.28	1.23	1.97	0.46	1.04
0.31	1.27	-999.00	1.01	1.77	0.47	2.80	0.49	1.84	0.87	0.29	0.23
0.25	0.78	1.20	1.62	1.73	0.66	1.96	1.47	4.04	0.92	0.15	0.31
1.02	0.19	1.08	1.37	4.32	1.01	4.76	1.67	1.73	1.13	0.83	0.70
0.25	2.50	0.79	2.31	6.35	6.69	1.10	0.71	0.48	2.03	2.15	0.77
0.26	0.61	1.24	2.67	1.70	3.19	0.83	1.32	0.09	0.45	0.34	0.72
0.55	0.07	0.65	2.05	4.71	0.77	0.99	1.49	1.32	1.51	0.04	0.14
0.31	0.48	1.83	1.01	2.60	1.13	2.70	1.00	0.61	1.06	0.28	-999.00
1.22	0.65	1.22	0.78	2.99	1.03	3.21	1.53	0.84	1.45	1.26	0.34
0.07	1.02	1.35	0.79	1.39	1.67	0.66	0.33	0.78	0.33	0.67	0.41
0.22	0.75	2.79	2.27	4.23	1.56	0.87	1.41	0.48	0.20	0.01	0.16
0.83	1.05	1.24	0.05	2.34	1.74	2.78	0.93	0.66	0.77	0.48	1.43
