50.90	56.40	57.50	69.30	78.20	86.00	94.70	93.00	81.90	67.50	46.20	46.10
48.20	45.40	54.80	65.80	73.80	87.30	95.30	90.60	86.00	69.70	61.70	50.20
47.70	51.80	51.70	69.70	73.10	90.40	96.00	90.30	82.00	63.30	52.30	50.60
54.70	44.70	54.60	67.90	73.80	80.10	96.70	92.40	79.30	74.30	51.40	50.20
50.40	46.50	63.30	63.50	76.70	80.80	88.40	85.90	80.70	67.40	53.40	47.70
49.20	51.20	55.40	62.50	73.80	84.30	95.80	88.20	83.70	68.90	60.30	45.20
54.50	47.80	53.50	68.90	74.90	87.10	88.00	83.80	72.00	60.80	50.00	40.20
30.60	40.80	58.50	61.70	72.50	86.50	92.20	90.90	79.50	66.30	53.80	38.90
40.10	48.60	54.80	63.00	72.50	85.00	93.90	86.70	78.50	67.70	64.50	44.60
52.00	56.50	60.50	61.20	73.70	80.60	87.00	88.40	79.70	57.50	59.50	41.30
48.50	42.80	56.30	64.70	69.90	86.10	91.70	92.30	86.50	71.80	55.80	52.00
46.30	45.50	60.00	64.70	65.50	86.60	92.70	94.10	80.60	70.90	57.70	45.30
52.70	46.00	67.00	72.20	78.00	92.40	94.80	92.50	83.30	66.30	61.40	48.60
48.60	46.60	55.40	58.30	73.90	89.10	90.00	92.10	81.90	63.70	57.80	46.20
49.70	46.30	58.50	66.20	72.20	85.10	89.60	86.70	82.70	73.70	55.50	47.50
48.40	50.00	60.70	65.60	65.50	86.70	88.50	91.20	88.90	72.30	57.50	47.80
50.90	55.10	58.00	63.10	69.40	89.20	94.10	89.60	85.00	75.70	64.10	45.00
44.90	56.10	65.50	65.40	70.40	88.10	91.40	87.80	79.70	66.70	61.20	51.20
51.50	45.40	58.80	65.10	76.80	91.90	92.20	90.50	86.00	64.20	53.50	49.00
47.90	45.70	53.40	66.10	65.80	83.40	94.60	93.00	88.70	61.90	53.40	48.60
50.20	44.60	58.10	62.90	77.20	88.70	92.80	94.40	82.10	67.50	61.60	49.60
48.90	42.60	55.30	60.70	70.60	89.00	93.10	91.50	87.50	71.10	62.10	56.70
47.90	46.20	56.00	66.70	74.00	87.10	94.20	92.30	85.70	69.50	50.70	47.30
