22.10	26.10	31.10	36.60	48.50	54.80	63.90	62.40	49.10	39.00	22.20	17.90
20.80	18.80	30.30	38.70	46.90	56.00	63.90	60.80	51.30	38.20	29.00	21.60
19.10	21.10	22.80	37.50	43.60	58.60	63.40	58.30	51.90	33.90	26.90	23.40
24.00	18.20	29.40	38.40	46.80	52.50	63.70	61.50	46.00	39.80	26.60	19.80
19.40	21.40	33.80	37.30	46.90	52.60	58.70	56.70	48.70	38.20	27.40	22.50
21.60	24.90	28.50	35.50	46.40	54.00	62.70	57.50	51.40	38.50	30.40	18.50
25.20	18.40	25.80	36.50	45.60	57.50	61.90	60.00	45.50	36.90	25.90	20.90
12.00	19.10	34.10	33.50	44.70	53.90	62.30	62.50	52.40	40.90	28.80	15.80
14.60	20.70	27.50	32.90	43.40	53.40	62.20	58.30	48.00	35.90	27.00	15.80
19.60	23.60	29.30	32.30	47.10	52.50	57.60	55.80	48.20	30.50	27.50	12.40
18.10	18.00	27.90	35.20	41.00	55.50	60.40	59.00	48.90	40.60	25.10	21.90
17.90	14.00	31.20	36.40	41.80	54.60	62.70	62.70	50.30	37.50	27.30	16.20
23.00	19.20	33.90	39.90	46.20	58.50	63.40	58.60	50.10	33.80	27.40	19.80
15.90	18.40	24.60	29.00	44.20	55.10	59.40	58.30	51.80	33.40	26.80	15.40
17.30	15.50	25.20	33.30	43.10	52.30	59.70	55.40	48.40	37.70	19.20	17.90
20.30	20.60	28.50	34.00	40.40	54.60	57.20	57.00	51.20	41.20	23.80	18.40
19.00	23.00	27.10	34.30	39.40	55.70	58.80	54.30	48.60	37.60	29.40	12.60
15.70	25.30	30.60	33.70	39.50	52.50	58.90	53.70	48.80	31.70	28.30	20.50
21.70	18.20	29.50	35.20	49.50	58.40	62.20	59.50	53.30	35.70	27.00	21.00
19.80	16.20	26.90	38.20	41.30	53.50	62.70	62.10	55.10	31.60	24.90	24.30
23.10	17.80	31.90	33.60	47.90	57.00	63.20	61.00	48.50	33.90	30.40	22.70
21.40	15.60	29.00	33.60	46.00	58.90	63.30	61.30	52.10	39.60	31.80	25.60
18.40	16.10	27.60	34.70	44.50	57.00	62.80	62.50	53.10	40.70	23.70	18.00
