4.40	1.80	13.40	3.30	0.00	0.00	0.00	0.00	0.00	0.00	3.70	4.60
9.70	11.90	10.00	4.80	2.90	0.00	0.00	0.00	0.00	0.10	4.40	4.20
8.80	4.50	15.50	-999.00	0.60	0.00	0.00	0.00	0.00	2.80	5.10	0.00
0.10	11.90	29.30	3.60	4.00	0.00	0.00	0.00	0.00	0.00	3.50	4.30
5.40	11.10	3.90	4.10	-999.00	0.00	0.00	0.00	0.00	0.00	11.50	2.40
9.20	0.50	4.40	9.50	0.00	0.00	0.00	0.00	0.00	0.60	0.20	3.40
5.40	4.20	6.10	-999.00	0.00	0.00	0.00	0.00	0.00	8.30	0.00	-999.00
9.40	5.00	13.50	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	17.60
4.30	4.10	6.00	2.20	0.10	0.00	0.00	0.00	0.00	-999.00	1.20	8.20
6.90	2.80	9.60	11.30	0.00	0.00	0.00	0.00	0.00	11.60	0.00	11.20
1.90	2.30	16.80	2.30	0.70	0.00	0.00	0.00	0.00	0.00	0.20	1.00
7.30	11.40	0.50	0.20	-999.00	0.00	0.00	0.00	0.00	5.50	5.60	16.80
4.20	7.60	0.20	0.80	0.00	0.00	0.00	0.00	0.00	2.70	1.00	4.70
3.20	13.90	18.40	12.70	4.90	0.00	0.00	0.00	0.00	0.50	1.70	5.30
10.60	4.60	4.30	4.00	1.80	0.00	0.00	0.00	0.00	0.00	4.00	6.60
3.80	27.60	2.50	1.50	4.50	0.00	0.00	0.00	0.00	0.00	9.80	10.00
2.30	9.00	13.40	7.90	-999.00	0.00	0.00	0.00	0.00	0.00	0.50	8.40
8.00	0.20	-999.00	7.40	0.00	0.00	0.00	0.00	0.00	1.50	-999.00	2.00
4.10	9.10	2.80	1.20	0.00	0.00	0.00	0.00	0.00	1.50	5.60	-999.00
11.30	8.70	2.40	3.30	1.90	0.00	0.00	0.00	0.00	13.00	11.60	1.80
0.60	16.20	4.00	5.50	0.00	0.00	0.00	0.00	-999.00	4.00	4.10	6.20
2.40	13.10	26.40	8.20	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	1.60
13.90	16.90	6.60	0.00	2.40	0.00	0.00	0.00	0.00	-999.00	8.10	10.60
